Issue #,OriginationPhase,DetectionPhase,Category,Priority,Status,Created_at,Closed_at,Author
736,Documentation,Field,Inquiry,Major,pendingReview,7/10/2017,,Jessica
737,Design,Testing,Enhancement,High,Approved,7/11/2017,7/12/2017,Christopher
738,Requirements,Design,Inquiry,Low,Rejected,7/12/2017,7/13/2017,Smith
739,Testing,Field,Bug,Medium,Completed,7/13/2017,7/14/2017,Kim
740,Documentation,Field,Enhancement,Major,pendingReview,7/14/2017,,Linda
741,Design,Testing,Inquiry,Critical,Approved,7/15/2017,7/16/2017,David
742,Requirements,Coding,Bug,High,inProgress,7/16/2017,,Alexander
743,Requirements,Design,Inquiry,Low,Rejected,7/17/2017,7/18/2017,Smith
744,Testing,Field,Bug,Medium,Completed,7/18/2017,7/19/2017,James
745,Documentation,Field,Enhancement,Major,pendingReview,7/19/2017,,Alyssa
746,Requirements,Testing,Bug,High,Completed,7/20/2017,7/21/2017,Lindsey
747,Testing,Field,Bug,Medium,Completed,7/21/2017,7/22/2017,Joseph
748,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
749,Design,Coding,Inquiry,High,inProgress,11/1/2017,11/20/2017,John
750,Coding,Testing,Bug,Low,Completed,11/2/2017,11/21/2017,Linda
751,Design,Coding,Inquiry,High,inProgress,11/3/2017,,Lindsey
752,Coding,Testing,Bug,Low,Completed,11/4/2017,11/23/2017,David
753,Testing,Field,Enhancement,Medium,Completed,11/5/2017,11/24/2017,Catherine
754,Design,Testing,Inquiry,Critical,Approved,11/6/2017,11/25/2017,Roy
755,Requirements,Coding,Bug,Critical,inProgress,11/7/2017,,Michelle
756,Requirements,Design,Inquiry,Low,Rejected,11/8/2017,11/27/2017,Roy
757,Testing,Field,Bug,Medium,Completed,11/9/2017,11/28/2017,John
758,Documentation,Field,Inquiry,Major,pendingReview,11/10/2017,,Jessica
759,Design,Testing,Enhancement,High,Approved,11/11/2017,11/30/2017,Joseph
760,Requirements,Design,Inquiry,Low,Rejected,11/12/2017,12/1/2017,Smith
761,Testing,Field,Bug,Medium,Completed,11/13/2017,12/2/2017,Kim
762,Documentation,Field,Enhancement,Major,pendingReview,11/14/2017,,Sandy
763,Design,Testing,Bug,Critical,Approved,11/15/2017,12/4/2017,David
764,Requirements,Coding,Bug,High,inProgress,11/16/2017,12/5/2017,Michelle
765,Requirements,Design,Inquiry,Low,Rejected,11/17/2017,12/6/2017,Smith
766,Testing,Field,Bug,Medium,Completed,11/18/2017,12/7/2017,Joseph
767,Documentation,Field,Enhancement,Major,pendingReview,11/19/2017,,Roy
768,Design,Coding,Inquiry,Low,inProgress,11/20/2017,,John
769,Testing,Field,Bug,Medium,Completed,2/21/2017,3/15/2017,Michelle
770,Documentation,Field,Enhancement,Major,pendingReview,2/22/2017,,Roy
771,Design,Coding,Inquiry,High,inProgress,2/23/2017,,John
772,Coding,Testing,Bug,Low,Completed,2/24/2017,3/18/2017,Linda
773,Design,Coding,Inquiry,High,inProgress,2/25/2017,,Lindsey
774,Coding,Testing,Bug,Low,Completed,3/4/2017,3/20/2017,David
775,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/21/2017,Catherine
776,Design,Testing,Inquiry,Critical,Approved,3/6/2017,3/22/2017,Alyssa
777,Testing,Field,Bug,Medium,Completed,2/27/2017,3/23/2017,Michelle
778,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
779,Design,Coding,Inquiry,High,inProgress,8/1/2017,,John
780,Coding,Testing,Bug,Low,Completed,8/2/2017,8/26/2017,Linda
781,Design,Coding,Inquiry,High,inProgress,8/3/2017,,Joseph
782,Coding,Testing,Bug,Low,Completed,8/4/2017,8/28/2017,David
783,Testing,Field,Enhancement,Medium,Completed,8/5/2017,8/29/2017,Catherine
784,Design,Testing,Inquiry,Critical,Approved,8/6/2017,,Roy
785,Coding,Testing,Bug,Low,Completed,8/7/2017,8/31/2017,David
786,Testing,Field,Enhancement,Medium,Completed,8/8/2017,9/1/2017,Rose
787,Design,Testing,Inquiry,Critical,Approved,8/9/2017,,Smith
788,Requirements,Coding,Bug,High,inProgress,8/10/2017,,Joseph
789,Requirements,Design,Inquiry,Low,Rejected,8/11/2017,9/4/2017,Roy
790,Testing,Field,Bug,Medium,Completed,8/12/2017,9/5/2017,John
791,Documentation,Field,Inquiry,Major,pendingReview,8/13/2017,,Jessica
792,Design,Testing,Enhancement,High,Approved,8/14/2017,9/7/2017,Michelle
793,Requirements,Design,Inquiry,Low,Rejected,8/15/2017,9/8/2017,Smith
794,Testing,Field,Bug,Medium,Completed,8/16/2017,9/9/2017,Kim
795,Documentation,Field,Enhancement,Major,pendingReview,8/17/2017,,Linda
796,Design,Testing,Inquiry,Critical,Approved,8/18/2017,9/11/2017,David
797,Requirements,Coding,Bug,High,inProgress,8/19/2017,,Michelle
798,Requirements,Design,Inquiry,Low,Rejected,8/20/2017,,Smith
799,Testing,Field,Bug,Medium,Completed,8/21/2017,9/14/2017,Michelle
800,Documentation,Field,Enhancement,Major,pendingReview,8/22/2017,,Roy
801,Design,Coding,Inquiry,High,inProgress,8/23/2017,,Kristen
802,Requirements,Testing,Bug,High,Completed,8/24/2017,9/17/2017,Lindsey
803,Testing,Field,Bug,Medium,Completed,8/25/2017,9/18/2017,Joseph
804,Documentation,Field,Enhancement,Major,pendingReview,8/26/2017,,Mark
805,Design,Coding,Inquiry,High,inProgress,8/27/2017,,James
806,Coding,Testing,Bug,Low,Completed,8/28/2017,9/21/2017,Rose
807,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
808,Coding,Testing,Bug,Low,Completed,11/4/2017,11/15/2017,David
809,Testing,Field,Enhancement,Medium,Completed,11/5/2017,11/16/2017,Kristen
810,Design,Testing,Inquiry,Critical,Approved,11/6/2017,,Robert
811,Requirements,Coding,Bug,Critical,inProgress,11/7/2017,,Michelle
812,Requirements,Design,Inquiry,Low,Rejected,11/8/2017,11/19/2017,Roy
813,Testing,Field,Bug,Medium,Completed,11/9/2017,11/20/2017,John
814,Documentation,Field,Inquiry,Major,pendingReview,11/10/2017,,Jessica
815,Design,Testing,Enhancement,High,Approved,11/11/2017,,Joseph
816,Requirements,Design,Inquiry,Low,Rejected,11/12/2017,11/23/2017,Smith
817,Testing,Field,Bug,Medium,Completed,11/13/2017,11/24/2017,Kim
818,Documentation,Field,Enhancement,Major,pendingReview,11/14/2017,,Sandy
819,Design,Testing,Bug,Critical,Approved,11/15/2017,,David
820,Requirements,Coding,Bug,High,inProgress,11/16/2017,,Michelle
821,Requirements,Design,Inquiry,Low,Rejected,11/17/2017,11/28/2017,Jeremy
822,Testing,Field,Bug,Medium,Completed,11/18/2017,11/29/2017,Joseph
823,Documentation,Field,Enhancement,Major,pendingReview,11/19/2017,,Roy
824,Design,Coding,Inquiry,Low,inProgress,11/20/2017,,Zachary
825,Testing,Field,Bug,Medium,Completed,11/21/2017,12/2/2017,Tamara
826,Documentation,Field,Enhancement,Major,pendingReview,11/22/2017,,Eric
827,Design,Coding,Inquiry,High,inProgress,11/23/2017,,John
828,Coding,Testing,Bug,Low,Completed,11/24/2017,12/5/2017,Robert
829,Design,Coding,Inquiry,High,inProgress,11/25/2017,,Lindsey
830,Coding,Testing,Bug,Low,Completed,11/26/2017,12/7/2017,David
831,Testing,Field,Enhancement,Medium,Completed,11/27/2017,12/8/2017,Catherinee
832,Design,Testing,Inquiry,Critical,Approved,11/28/2017,,Ryan
833,Testing,Field,Bug,Medium,Completed,11/29/2017,12/10/2017,Michelle
834,Documentation,Field,Enhancement,Major,pendingReview,11/30/2017,,Robert
835,Design,Coding,Inquiry,High,inProgress,12/1/2017,,Christopher
836,Coding,Testing,Bug,Low,Completed,12/2/2017,3/26/2017,William
837,Design,Coding,Inquiry,High,inProgress,12/3/2017,,Joseph
838,Testing,Field,Bug,Medium,Completed,12/4/2017,3/18/2017,Michelle
839,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Brent
840,Design,Coding,Inquiry,High,inProgress,10/1/2017,,Orlando
841,Coding,Testing,Bug,Low,Completed,10/2/2017,11/20/2017,Linda
842,Design,Coding,Inquiry,High,inProgress,10/3/2017,,Lindsey
843,Coding,Testing,Bug,Low,Completed,10/4/2017,11/22/2017,David
844,Testing,Field,Enhancement,Medium,Completed,10/5/2017,11/23/2017,Catherinee
845,Design,Testing,Inquiry,Critical,Approved,10/6/2017,,Smith
846,Requirements,Coding,Bug,High,inProgress,10/7/2017,,Joseph
847,Requirements,Design,Inquiry,Low,Rejected,10/8/2017,11/26/2017,Victor
848,Testing,Field,Bug,Medium,Completed,10/9/2017,11/27/2017,Justin
849,Documentation,Field,Inquiry,Major,pendingReview,10/10/2017,,Jessica
850,Design,Testing,Enhancement,High,Approved,10/11/2017,11/29/2017,Michelle
851,Requirements,Design,Inquiry,Low,Rejected,10/12/2017,11/30/2017,Smith
852,Testing,Field,Bug,Medium,Completed,10/13/2017,12/1/2017,Kim
853,Documentation,Field,Enhancement,Major,pendingReview,10/14/2017,,Linda
854,Design,Testing,Inquiry,Critical,Approved,10/15/2017,12/3/2017,David
855,Requirements,Coding,Bug,High,inProgress,10/16/2017,,Michelle
856,Requirements,Design,Inquiry,Low,Rejected,10/17/2017,12/5/2017,Smith
857,Testing,Field,Bug,Medium,Completed,10/18/2017,12/6/2017,Michelle
858,Documentation,Field,Enhancement,Major,pendingReview,10/19/2017,,Roy
859,Design,Coding,Inquiry,High,inProgress,10/20/2017,,Derek
860,Requirements,Testing,Bug,High,Completed,10/21/2017,12/9/2017,Lindsey
861,Testing,Field,Bug,Medium,Completed,10/22/2017,12/10/2017,Joseph
862,Documentation,Field,Enhancement,Major,pendingReview,10/23/2017,,Roy
863,Design,Coding,Inquiry,High,inProgress,10/24/2017,,John
864,Coding,Testing,Bug,Low,Completed,10/25/2017,12/13/2017,Victoria
865,Design,Coding,Inquiry,High,inProgress,10/26/2017,,Lindsey
866,Coding,Testing,Bug,Low,Completed,10/27/2017,12/15/2017,David
867,Testing,Field,Enhancement,Medium,Completed,10/28/2017,12/16/2017,Catherine
868,Design,Testing,Inquiry,Critical,Approved,10/29/2017,,Roy
869,Requirements,Coding,Bug,Critical,inProgress,10/30/2017,,Michelle
870,Requirements,Design,Inquiry,Low,Rejected,6/8/2017,6/19/2017,Roy
871,Testing,Field,Bug,Medium,Completed,6/9/2017,6/20/2017,John
872,Documentation,Field,Inquiry,Major,pendingReview,6/10/2017,,Jessica
873,Design,Testing,Enhancement,High,Approved,6/11/2017,6/22/2017,Joseph
874,Requirements,Design,Inquiry,Low,Rejected,6/12/2017,6/23/2017,Smith
875,Testing,Field,Bug,Medium,Completed,6/13/2017,6/24/2017,Kim
876,Documentation,Field,Enhancement,Major,pendingReview,6/14/2017,,Sandy
877,Design,Testing,Bug,Critical,Approved,6/15/2017,6/26/2017,David
878,Requirements,Coding,Bug,High,inProgress,6/16/2017,,Adam
879,Requirements,Design,Inquiry,Low,Rejected,6/17/2017,6/28/2017,Smith
880,Testing,Field,Bug,Medium,Completed,6/18/2017,6/29/2017,Joseph
881,Documentation,Field,Enhancement,Major,pendingReview,6/19/2017,,Roy
882,Design,Coding,Inquiry,Low,inProgress,6/20/2017,,John
883,Testing,Field,Bug,Medium,Completed,6/21/2017,7/2/2017,Michelle
884,Documentation,Field,Enhancement,Major,pendingReview,6/22/2017,,Roy
885,Design,Coding,Inquiry,High,inProgress,6/23/2017,,John
886,Coding,Testing,Bug,Low,Completed,6/24/2017,7/5/2017,Linda
887,Design,Coding,Inquiry,High,inProgress,6/25/2017,,Kyle
888,Coding,Testing,Bug,Low,Completed,6/26/2017,7/7/2017,David
889,Testing,Field,Enhancement,Medium,Completed,6/27/2017,7/8/2017,Catherine
890,Design,Testing,Inquiry,Critical,Approved,6/28/2017,,Roy
891,Testing,Field,Bug,Medium,Completed,2/27/2017,3/23/2017,Allison
892,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Roy
893,Design,Coding,Inquiry,High,inProgress,8/5/2017,,John
894,Coding,Testing,Bug,Low,Completed,8/6/2017,9/26/2017,Linda
895,Design,Coding,Inquiry,High,inProgress,8/7/2017,,Joseph
896,Coding,Testing,Bug,Low,Completed,8/8/2017,9/28/2017,David
897,Testing,Field,Enhancement,Medium,Completed,8/9/2017,9/29/2017,Catherine
898,Design,Testing,Inquiry,Critical,Approved,8/10/2017,,Daniel
899,Coding,Testing,Bug,Low,Completed,8/11/2017,10/1/2017,David
900,Testing,Field,Enhancement,Medium,Completed,8/12/2017,10/2/2017,Catherine
901,Design,Testing,Inquiry,Critical,Approved,8/13/2017,,Smith
902,Requirements,Coding,Bug,High,inProgress,8/14/2017,,Joseph
903,Requirements,Design,Inquiry,Low,Rejected,8/15/2017,10/5/2017,Roy
904,Testing,Field,Bug,Medium,Completed,8/16/2017,10/6/2017,Dan
905,Documentation,Field,Inquiry,Major,pendingReview,8/17/2017,,Jessica
906,Design,Testing,Enhancement,High,Approved,8/18/2017,10/8/2017,Stephanie
907,Requirements,Design,Inquiry,Low,Rejected,8/19/2017,,Smith
908,Testing,Field,Bug,Medium,Completed,8/20/2017,10/10/2017,Tara
909,Documentation,Field,Enhancement,Major,pendingReview,8/21/2017,,Linda
910,Design,Testing,Inquiry,Critical,Approved,8/22/2017,,Frank
911,Design,Coding,Inquiry,High,inProgress,8/23/2017,,John
912,Requirements,Testing,Bug,High,Completed,8/24/2017,10/14/2017,Lindsey
913,Testing,Field,Bug,Medium,Completed,8/25/2017,10/15/2017,Joseph
914,Documentation,Field,Enhancement,Major,pendingReview,8/26/2017,,Roy
915,Design,Coding,Inquiry,High,inProgress,8/27/2017,,Anthony
916,Coding,Testing,Bug,Low,Completed,8/28/2017,10/18/2017,Linda
917,Design,Coding,Inquiry,High,inProgress,8/29/2017,,Kathleen
918,Coding,Testing,Bug,Low,Completed,8/30/2017,10/20/2017,David
919,Testing,Field,Enhancement,Medium,Completed,8/31/2017,10/21/2017,Catherine
920,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Robert
921,Requirements,Coding,Bug,Critical,inProgress,2/6/2017,,Bridget
922,Requirements,Design,Inquiry,Low,Rejected,2/7/2017,3/19/2017,Richard
923,Testing,Field,Bug,Medium,Completed,2/8/2017,3/10/2017,Chris
924,Documentation,Field,Inquiry,Major,pendingReview,2/9/2017,3/11/2017,Jessica
925,Design,Testing,Enhancement,High,Approved,2/10/2017,,Carina
926,Requirements,Design,Inquiry,Low,Rejected,8/11/2017,10/13/2017,Smith
927,Testing,Field,Bug,Medium,Completed,8/12/2017,10/14/2017,Laurie
928,Documentation,Field,Enhancement,Major,pendingReview,8/13/2017,,Sandy
929,Design,Testing,Bug,Critical,Approved,8/14/2017,,Jacob
930,Requirements,Coding,Bug,High,inProgress,8/15/2017,,Kelly
931,Requirements,Design,Inquiry,Low,Rejected,8/16/2017,10/18/2017,Smith
932,Testing,Field,Bug,Medium,Completed,8/17/2017,10/19/2017,Nicole
933,Documentation,Field,Enhancement,Major,pendingReview,8/18/2017,,Michael
934,Design,Coding,Inquiry,Low,inProgress,8/19/2017,,Andrew
935,Testing,Field,Bug,Medium,Completed,8/20/2017,10/22/2017,Emily
936,Documentation,Field,Enhancement,Major,pendingReview,8/21/2017,,Roger
937,Design,Coding,Inquiry,High,inProgress,8/22/2017,,Justin
938,Coding,Testing,Bug,Low,Completed,8/23/2017,10/25/2017,Robert
939,Design,Coding,Inquiry,High,inProgress,8/24/2017,,Lindsey
940,Coding,Testing,Bug,Low,Completed,8/25/2017,10/27/2017,David
941,Testing,Field,Enhancement,Medium,Completed,8/26/2017,10/28/2017,Catherine
942,Design,Testing,Inquiry,Critical,Approved,8/27/2017,,Kevin
943,Testing,Field,Bug,Medium,Completed,8/28/2017,10/30/2017,Michelle
944,Documentation,Field,Enhancement,Major,pendingReview,8/29/2017,,Robert
945,Design,Coding,Inquiry,High,inProgress,8/30/2017,,Dennis
946,Coding,Testing,Bug,Low,Completed,8/31/2017,11/2/2017,William
947,Design,Coding,Inquiry,High,inProgress,9/1/2017,,Joseph
948,Testing,Field,Bug,Medium,Completed,9/2/2017,2/12/2017,Joseph
949,Documentation,Field,Enhancement,Major,pendingReview,1/10/2017,,Roy
950,Design,Coding,Inquiry,Low,inProgress,1/11/2017,,Zachary
951,Testing,Field,Bug,Medium,Completed,1/12/2017,2/15/2017,Tamara
952,Documentation,Field,Enhancement,Major,pendingReview,1/13/2017,,Eric
953,Design,Coding,Inquiry,High,inProgress,1/14/2017,,John
954,Coding,Testing,Bug,Low,Completed,1/15/2017,2/18/2017,Robert
955,Design,Coding,Inquiry,High,inProgress,1/16/2017,,Lindsey
956,Coding,Testing,Bug,Low,Completed,1/17/2017,3/20/2017,David
957,Testing,Field,Enhancement,Medium,Completed,1/18/2017,3/21/2017,Catherinee
958,Design,Testing,Inquiry,Critical,Approved,1/19/2017,,Ryan
959,Testing,Field,Bug,Medium,Completed,1/20/2017,3/23/2017,Michelle
960,Documentation,Field,Enhancement,Major,pendingReview,1/21/2017,,Robert
961,Design,Coding,Inquiry,High,inProgress,1/22/2017,,Christopher
962,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,William
963,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
964,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Michelle
965,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Brent
966,Design,Coding,Inquiry,High,inProgress,8/1/2017,,Orlando
967,Design,Coding,Inquiry,High,inProgress,8/2/2017,,Lindsey
968,Coding,Testing,Bug,Low,Completed,8/3/2017,8/15/2017,David
969,Testing,Field,Enhancement,Medium,Completed,8/4/2017,8/16/2017,Catherinee
970,Design,Testing,Inquiry,Critical,Approved,8/5/2017,8/17/2017,Smith
971,Requirements,Coding,Bug,High,inProgress,8/6/2017,8/18/2017,Joseph
972,Design,Testing,Enhancement,High,Approved,8/7/2017,8/19/2017,Christopher
973,Requirements,Design,Inquiry,Low,Rejected,8/8/2017,8/20/2017,Smith
974,Testing,Field,Bug,Medium,Completed,8/9/2017,8/21/2017,Kim
975,Documentation,Field,Enhancement,Major,Completed,8/10/2017,8/22/2017,Linda
976,Design,Testing,Inquiry,Critical,Completed,8/11/2017,8/23/2017,David
977,Requirements,Coding,Bug,High,Completed,8/12/2017,8/24/2017,Alexander
978,Testing,Field,Bug,Medium,Completed,8/13/2017,8/25/2017,James
979,Documentation,Field,Enhancement,Major,Completed,8/14/2017,8/26/2017,Alyssa
980,Design,Coding,Inquiry,High,Completed,8/15/2017,8/27/2017,John
981,Requirements,Testing,Bug,High,Completed,8/16/2017,8/28/2017,Lindsey
982,Testing,Field,Bug,Medium,Completed,8/17/2017,8/29/2017,Joseph
983,Documentation,Field,Enhancement,Major,pendingReview,8/18/2017,,Roy
984,Design,Coding,Inquiry,High,inProgress,8/19/2017,,John
985,Coding,Testing,Bug,Low,Completed,8/20/2017,9/1/2017,Linda
986,Design,Coding,Inquiry,High,inProgress,8/21/2017,,Lindsey
987,Coding,Testing,Bug,Low,Completed,8/22/2017,9/3/2017,David
988,Testing,Field,Enhancement,Medium,Completed,8/23/2017,9/4/2017,Catherine
989,Design,Testing,Inquiry,Critical,Approved,8/24/2017,,Roy
990,Testing,Field,Enhancement,Medium,Completed,8/25/2017,9/6/2017,Catherine
991,Design,Testing,Inquiry,Critical,Approved,8/26/2017,9/7/2017,Robert
992,Requirements,Coding,Bug,Critical,inProgress,8/27/2017,,Bridget
993,Requirements,Design,Inquiry,Low,Rejected,8/28/2017,9/9/2017,Richard
994,Testing,Field,Bug,Medium,Completed,8/29/2017,9/10/2017,Chris
995,Documentation,Field,Inquiry,Major,pendingReview,12/9/2017,,Jessica
996,Design,Testing,Enhancement,High,Approved,12/10/2017,,Carina
997,Requirements,Design,Inquiry,Low,Rejected,12/11/2017,12/13/2017,Smith
998,Testing,Field,Bug,Medium,Completed,12/12/2017,12/14/2017,Laurie
999,Documentation,Field,Enhancement,Major,pendingReview,12/13/2017,,Sandy
1000,Design,Testing,Bug,Critical,Approved,12/14/2017,,Jacob
1001,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
1002,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,Linda
1003,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
1004,Coding,Testing,Bug,Low,Completed,3/4/2017,3/28/2017,David
1005,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/29/2017,Catherine
1006,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
1007,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
1008,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Rose
1009,Design,Testing,Inquiry,Critical,Approved,8/6/2017,,Smith
1010,Requirements,Coding,Bug,High,inProgress,8/7/2017,,Joseph
1011,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
1012,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
1013,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
1014,Design,Testing,Enhancement,High,Approved,3/11/2017,,Michelle
1015,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
1016,Testing,Field,Bug,Medium,Completed,3/13/2017,3/14/2017,Kim
1017,Documentation,Field,Enhancement,Major,pendingReview,3/14/2017,,Linda
1018,Design,Testing,Inquiry,Critical,Approved,3/15/2017,,David
1019,Requirements,Coding,Bug,High,inProgress,3/16/2017,,Michelle
1020,Requirements,Design,Inquiry,Low,Rejected,3/17/2017,3/25/2017,Smith
1021,Testing,Field,Bug,Medium,Completed,3/18/2017,3/26/2017,Michelle
1022,Documentation,Field,Bug,Major,pendingReview,8/19/2017,,Roy
1023,Design,Coding,Bug,High,inProgress,8/20/2017,,Kristen
1024,Requirements,Testing,Bug,High,Completed,3/17/2017,3/25/2017,Lindsey
1025,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Joseph
1026,Documentation,Field,Bug,Major,pendingReview,2/28/2017,,Mark
1027,Design,Coding,Bug,High,inProgress,3/1/2017,,James
1028,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Rose
1029,Design,Coding,Bug,High,inProgress,3/3/2017,,Lindsey
1030,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
1031,Testing,Field,Bug,Medium,Completed,3/5/2017,3/16/2017,Kristen
1032,Design,Testing,Bug,Critical,Approved,3/6/2017,,Robert
1033,Requirements,Coding,Bug,Critical,inProgress,3/7/2017,,Michelle
1034,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
1035,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
1036,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
1037,Design,Testing,Enhancement,High,Approved,3/11/2017,,Joseph
1038,Requirements,Design,Inquiry,Low,Rejected,4/12/2017,5/13/2017,Smith
1039,Testing,Field,Bug,Medium,Completed,4/13/2017,5/14/2017,Kim
1040,Documentation,Field,Enhancement,Major,pendingReview,1/5/2017,,Sandy
1041,Design,Testing,Bug,Critical,Approved,1/6/2017,,David
1042,Requirements,Coding,Bug,High,Approved,1/7/2017,,Michelle
1043,Requirements,Design,Inquiry,Low,Approved,1/8/2017,,Jeremy
1044,Testing,Field,Bug,Medium,Approved,1/9/2017,,Joseph
1045,Documentation,Field,Enhancement,Major,Approved,1/10/2017,,Roy
1046,Design,Coding,Inquiry,Low,Approved,1/11/2017,,Zachary
1047,Testing,Field,Bug,Medium,Approved,1/12/2017,,Tamara
1048,Documentation,Field,Enhancement,Major,pendingReview,1/13/2017,,Eric
1049,Design,Coding,Inquiry,High,inProgress,1/14/2017,,John
1050,Coding,Testing,Bug,Low,Completed,1/15/2017,2/18/2017,Robert
1051,Design,Coding,Inquiry,High,inProgress,1/16/2017,,Lindsey
1052,Coding,Testing,Bug,Low,Completed,5/17/2017,5/20/2017,David
1053,Testing,Field,Enhancement,Medium,Completed,5/18/2017,5/21/2017,Catherinee
1054,Design,Testing,Inquiry,Critical,Approved,5/19/2017,,Ryan
1055,Testing,Field,Bug,Medium,Completed,5/20/2017,6/23/2017,Michelle
1056,Documentation,Field,Enhancement,Major,pendingReview,5/21/2017,,Robert
1057,Design,Coding,Inquiry,High,inProgress,1/22/2017,,Christopher
1058,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,William
1059,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
1060,Testing,Field,Bug,Medium,Completed,2/27/2017,3/18/2017,Michelle
1061,Documentation,Field,Enhancement,Major,pendingReview,2/28/2017,,Brent
1062,Design,Coding,Inquiry,High,inProgress,3/1/2017,,Orlando
1063,Coding,Testing,Bug,Low,Completed,3/2/2017,3/3/2017,Linda
1064,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Lindsey
1065,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
1066,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Catherinee
1067,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
1068,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
1069,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Victor
1070,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,Justin
1071,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
1072,Design,Testing,Enhancement,High,Approved,4/11/2017,4/12/2017,Michelle
1073,Requirements,Design,Inquiry,Low,Rejected,4/12/2017,4/13/2017,Smith
1074,Testing,Field,Bug,Medium,Completed,4/13/2017,4/14/2017,Kim
1075,Documentation,Field,Enhancement,Major,pendingReview,3/14/2017,,Linda
1076,Design,Testing,Inquiry,Critical,Approved,3/15/2017,,David
1077,Requirements,Coding,Bug,High,inProgress,7/16/2017,8/24/2017,Michelle
1078,Requirements,Design,Inquiry,Low,Rejected,7/17/2017,8/25/2017,Smith
1079,Testing,Field,Bug,Medium,Rejected,7/18/2017,8/26/2017,Michelle
1080,Documentation,Field,Enhancement,Major,Rejected,7/19/2017,8/27/2017,Roy
1081,Design,Coding,Inquiry,High,Rejected,7/20/2017,8/28/2017,Derek
1082,Requirements,Testing,Bug,High,Completed,7/21/2017,8/29/2017,Lindsey
1083,Testing,Field,Bug,Medium,Completed,7/22/2017,8/30/2017,Joseph
1084,Design,Coding,Inquiry,High,inProgress,3/1/2017,,John
1085,Coding,Testing,Bug,Low,Completed,3/2/2017,3/26/2017,Linda
1086,Design,Coding,Inquiry,High,inProgress,3/3/2017,,Joseph
1087,Coding,Testing,Bug,Low,Completed,3/4/2017,3/28/2017,David
1088,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/29/2017,Catherine
1089,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Roy
1090,Coding,Testing,Bug,Low,Completed,3/4/2017,3/15/2017,David
1091,Testing,Field,Enhancement,Medium,Completed,3/5/2017,3/16/2017,Rose
1092,Design,Testing,Inquiry,Critical,Approved,3/6/2017,,Smith
1093,Requirements,Coding,Bug,High,inProgress,3/7/2017,,Joseph
1094,Requirements,Design,Inquiry,Low,Rejected,3/8/2017,3/19/2017,Roy
1095,Testing,Field,Bug,Medium,Completed,3/9/2017,3/10/2017,John
1096,Documentation,Field,Inquiry,Major,pendingReview,3/10/2017,,Jessica
1097,Design,Testing,Enhancement,High,Approved,3/11/2017,,Michelle
1098,Requirements,Design,Inquiry,Low,Rejected,3/12/2017,3/13/2017,Smith
1099,Testing,Field,Bug,Medium,Completed,3/13/2017,3/14/2017,Kim
1100,Documentation,Field,Enhancement,Major,pendingReview,3/14/2017,,Linda
